[(-45, -389), (1760, -86)]
[(-45, -389), (1756, -14)]
[(-45, -389), (1748, 9)]
[(-48, -406), (3988, 4226), (1748, 9)]
[(-48, -406), (4010, 4283), (1733, 73)]
[(-48, -406), (3949, 4195), (1733, 73)]
[(-48, -406), (3036, 2615), (1699, 186)]
[(-48, -406), (3060, 2672), (1630, 426)]
[(-48, -406), (3111, 2794), (1629, 439)]
[(-48, -406), (2593, 1907), (976, 2584)]
[(-48, -406), (2276, 1353), (976, 2584)]
[(-48, -406), (2276, 1353), (973, 2574)]
[(-48, -406), (2065, 1009), (973, 2574)]
[(-48, -406), (1871, 665), (973, 2574)]
[(-48, -406), (1911, 783), (970, 2561)]
[(-48, -406), (1750, 553), (967, 2551)]
[(-48, -406), (1814, 751), (966, 2555)]
[(-45, -389), (1581, 322), (965, 2554)]
[(-43, -406), (1667, 609)]
[(-43, -406), (1546, 377)]
[(-43, -406), (1452, 197)]
[(-43, -406), (1456, 293)]
[(197, -2139), (1490, 417)]
[(197, -2139), (1490, 417)]
[(196, -2132), (1456, 371)]
[(196, -2129), (1439, 347)]
[(196, -2132), (1433, 323)]
[(196, -2132), (1433, 323)]
[(196, -2132), (1433, 323)]
[(200, -2139), (1422, 266)]
[(200, -2139), (1422, 266)]
[(205, -2146), (1422, 221)]
[(214, -2138), (1420, 197)]
[(214, -2142), (1414, 174)]
[(224, -2123), (1429, 202)]
[(224, -2123), (1429, 202)]
[(236, -2105), (1437, 206)]
[(236, -2105), (1437, 206)]
[(254, -2070), (1435, 203)]
[(145, -447), (1435, 203)]
[(145, -447), (1435, 203)]
[(287, -2007), (1437, 206)]
[(287, -2007), (1437, 206)]
[(1437, 206), (296, -1988)]
[(1437, 206), (296, -1988), (207, -210)]
[(1437, 206), (304, -1973), (221, -30)]
[(1437, 206), (314, -1953), (234, 12)]
[(1437, 206), (314, -1953), (248, 202)]
[(238, -347), (1380, 310)]
[(237, -348), (1380, 310)]
[(241, -304), (1381, 318)]
[(241, -304), (1380, 310)]
[(238, -248), (1380, 310), (292, 956)]
[(229, -284), (1381, 318), (276, 916)]
[(229, -284), (1380, 302), (420, 3054)]
[(210, -221), (1380, 302)]
[(203, -98), (1380, 302)]
[(166, 129), (1380, 302)]
[(166, 129), (1380, 302)]
[(138, 204), (1380, 302)]
[(101, 303), (1380, 302)]
[(81, 185), (1380, 302)]
[(58, 457), (1380, 302)]
[(1431, 183), (2, 564)]
[(1431, 183), (2, 564)]
[(1431, 183), (-63, 675)]
[(1431, 183), (-63, 675)]
[(1431, 183), (-89, 451)]
[(1431, 183), (-153, 499)]
[(1431, 183), (-208, 912)]
[(-311, 1080), (1380, 310)]
[(-311, 1080), (1380, 310)]
[(-446, 1224), (1380, 310)]
[(-565, 1906), (1380, 310), (-334, 676)]
[(-567, 1172), (1380, 310)]
[(-568, 510), (1380, 310)]
[(-657, 447), (1380, 302)]
[(-755, 825), (1380, 302)]
[(-739, 406), (1380, 302)]
[(-783, -129), (1380, 302)]
[(-860, -197), (1380, 302)]
[(-860, -197), (1380, 302)]
[(1431, 183), (-1003, 82)]
[(1431, 183), (-1003, 82)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(47, -4931), (1380, 302)]
[(48, -4926), (1380, 302)]
[(48, -4926), (1380, 302)]
[(48, -4926), (1380, 302)]
[(48, -4926), (1380, 302)]
[(48, -4926), (1380, 302)]
[(48, -4926), (1380, 302)]
[(41, -4957), (1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1380, 302)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1437, 206)]
[(1437, 206)]
[(1431, 183)]
[(1431, 183)]
[(1431, 183)]
[(1437, 206)]
[(1437, 206)]
[(1443, 229)]
[(1429, 202)]
[(1435, 225)]
[(1442, 249)]
[(1440, 246)]
[(1427, 220)]
[(1433, 243)]
[(1433, 243)]
[(1434, 245)]
[(1425, 240)]
[(1432, 263)]
[(1433, 266)]
[(1433, 266)]
[(1425, 262)]
[(1432, 286)]
[(1432, 286)]
[(1432, 286)]
[(1438, 310)]
[(1424, 283)]
[(1443, 356)]
[(1443, 356)]
[(1429, 329), (-2274, 4196)]
[(1449, 403), (-2084, 3641)]
[(1462, 455), (-1978, 3519)]
[(1476, 508), (-1709, 2713)]
[(1473, 504), (-1820, 3335)]
[(1480, 531), (-1594, 2628)]
[(1484, 528), (-1528, 2656)]
[(1478, 518), (-1652, 3479)]
[(1496, 544), (-1478, 3107)]
[(1515, 547), (-1465, 3345)]
[(1486, 440), (-1328, 2835)]
[(1514, 495), (-1388, 3351)]
[(1557, 583), (-1468, 4043)]
[(1542, 528), (-1319, 3433)]
[(1528, 474), (-1192, 2912)]
[(1543, 504), (-1249, 3516)]
[(1558, 509), (-1174, 3434)]
[(1550, 482), (-1090, 3055)]
[(1504, 390), (-911, 3106)]
[(1461, 376), (-794, 3099)]
[(1418, 338), (-730, 3096)]
[(1354, 210), (-741, 3557)]
[(1354, 210), (-741, 3557)]
[(1291, 151), (-682, 3397), (1203, 1202)]
[(1218, 96), (-638, 3320), (1203, 1202)]
[(1258, 279), (-605, 3097)]
[(1258, 279), (-605, 3097)]
[(1205, 226), (-573, 3026), (1187, 1270)]
[(1172, 178), (-532, 2955)]
[(1141, 109), (-531, 3169)]
[(1141, 109), (-531, 3169)]
[(1114, 63), (-488, 3166)]
[(1102, 62), (-438, 3022)]
[(1102, 62), (-438, 3022)]
[(1110, 105), (-403, 2753)]
[(1093, 104), (-376, 2689)]
[(1064, 39), (-367, 2953)]
[(1064, 39), (-367, 2953)]
[(1022, -6), (-329, 2886)]
[(961, -146), (-315, 3242)]
[(980, -28), (-285, 2957)]
[(1015, 188), (-251, 2631)]
[(961, 261), (-197, 2573)]
[(865, 16), (-169, 3033)]
[(807, -6), (-92, 3112)]
[(740, -183), (-52, 3661), (722, 1081)]
[(740, -183), (-52, 3661), (722, 1081)]
[(757, -6), (-14, 3050), (680, 1132)]
